Run,Shear,Scale,Translate,Degrees,Box(P),Recall,mAP50,mAP50-95
grid_shear2.5_scale0.06_trans0.06_deg15.0,2.5,0.06,0.06,15.0,0.7256426509608435,0.8196078431372549,0.799872857744353,0.334921841342451
grid_shear2.5_scale0.06_trans0.1_deg0.0,2.5,0.06,0.1,0.0,0.7561598654527362,0.8372549019607843,0.833765068306545,0.3675730352909988
grid_shear2.5_scale0.06_trans0.1_deg5.0,2.5,0.06,0.1,5.0,0.7093517532985694,0.7941176470588235,0.8004200429837255,0.3410629952351721
grid_shear2.5_scale0.06_trans0.1_deg10.0,2.5,0.06,0.1,10.0,0.6825682984312653,0.8568627450980392,0.78499010890768,0.3388538299363606
grid_shear2.5_scale0.06_trans0.1_deg15.0,2.5,0.06,0.1,15.0,0.747032783912389,0.8509803921568627,0.8334501863984998,0.35947621549162195
grid_shear2.5_scale0.1_trans0.0_deg0.0,2.5,0.1,0.0,0.0,0.7931019184125444,0.9019523895637362,0.8748425885821743,0.3758831735270932
grid_shear2.5_scale0.1_trans0.0_deg5.0,2.5,0.1,0.0,5.0,0.8641868058467288,0.8733613945576955,0.915043120221486,0.3910121601484828
grid_shear2.5_scale0.1_trans0.0_deg10.0,2.5,0.1,0.0,10.0,0.765777110518842,0.8607843137254902,0.8431244489205053,0.35187824768711684
grid_shear2.5_scale0.1_trans0.0_deg15.0,2.5,0.1,0.0,15.0,0.8032598996213749,0.8646032556443335,0.8649863417785064,0.369638790961019
grid_shear2.5_scale0.1_trans0.03_deg0.0,2.5,0.1,0.03,0.0,0.7926542467138168,0.8695146279799396,0.8754927260061489,0.3693491273506515
grid_shear2.5_scale0.1_trans0.03_deg5.0,2.5,0.1,0.03,5.0,0.8732436520452294,0.8764705882352941,0.9019887078652928,0.38084565924270625
grid_shear2.5_scale0.1_trans0.03_deg10.0,2.5,0.1,0.03,10.0,0.7258466063574106,0.8358094174144249,0.8247824140995378,0.35083478074766133
grid_shear2.5_scale0.1_trans0.03_deg15.0,2.5,0.1,0.03,15.0,0.744245052898628,0.8501751798765874,0.8625125135737369,0.36948406957133173
grid_shear2.5_scale0.1_trans0.06_deg0.0,2.5,0.1,0.06,0.0,0.8649434945343256,0.8921568627450981,0.9154640473204146,0.39665023966189183
grid_shear2.5_scale0.1_trans0.06_deg5.0,2.5,0.1,0.06,5.0,0.7193227172788407,0.8450980392156863,0.8087603566086631,0.3335738309578822
grid_shear2.5_scale0.1_trans0.06_deg10.0,2.5,0.1,0.06,10.0,0.7439479130487473,0.8568627450980392,0.8557668264868407,0.36977087603997416
grid_shear2.5_scale0.1_trans0.06_deg15.0,2.5,0.1,0.06,15.0,0.7347935694028953,0.8474927913328747,0.8299196906554565,0.35813403041015934
grid_shear2.5_scale0.1_trans0.1_deg0.0,2.5,0.1,0.1,0.0,0.868233231595597,0.8686274509803922,0.9310172316051398,0.4010422001056456
grid_shear2.5_scale0.1_trans0.1_deg5.0,2.5,0.1,0.1,5.0,0.8027320610297168,0.8457659789835623,0.856282026184605,0.357217125965754
grid_shear2.5_scale0.1_trans0.1_deg10.0,2.5,0.1,0.1,10.0,0.7518215096204284,0.8197088229236958,0.8469250458146838,0.3620615401901436
grid_shear2.5_scale0.1_trans0.1_deg15.0,2.5,0.1,0.1,15.0,0.8520124041278073,0.8692437108812214,0.9034397218746665,0.38484880588122755
grid_shear5.0_scale0.0_trans0.0_deg0.0,5.0,0.0,0.0,0.0,0.6723023203064377,0.8930471545184305,0.8203345524610236,0.33350887759027675
grid_shear5.0_scale0.0_trans0.0_deg5.0,5.0,0.0,0.0,5.0,0.6532384113148627,0.8333333333333334,0.7557158303993736,0.3124184772353658
grid_shear5.0_scale0.0_trans0.0_deg10.0,5.0,0.0,0.0,10.0,0.6608745568573491,0.8235294117647058,0.7730488969695651,0.3071981280323273
grid_shear5.0_scale0.0_trans0.0_deg15.0,5.0,0.0,0.0,15.0,0.5918973804792494,0.8616875509123996,0.7112929936948245,0.2985708315758912
grid_shear5.0_scale0.0_trans0.03_deg0.0,5.0,0.0,0.03,0.0,0.6872443011917081,0.8215686274509804,0.7769427268368871,0.3293792384573282
grid_shear5.0_scale0.0_trans0.03_deg5.0,5.0,0.0,0.03,5.0,0.6513071050185127,0.8196078431372549,0.7474064192830528,0.3058933127457289
grid_shear5.0_scale0.0_trans0.03_deg10.0,5.0,0.0,0.03,10.0,0.7426605606959745,0.8035307215797025,0.8087395965511623,0.31899063237464087
grid_shear5.0_scale0.0_trans0.03_deg15.0,5.0,0.0,0.03,15.0,0.6835799482718321,0.8666666666666667,0.8086467624267543,0.34822798534664606
grid_shear5.0_scale0.0_trans0.06_deg0.0,5.0,0.0,0.06,0.0,0.6868902474763876,0.8294117647058824,0.7680044972523746,0.3213536448859436
grid_shear5.0_scale0.0_trans0.06_deg5.0,5.0,0.0,0.06,5.0,0.6625590758747728,0.807843137254902,0.7542734038359191,0.31170386176540205
grid_shear5.0_scale0.0_trans0.06_deg10.0,5.0,0.0,0.06,10.0,0.705376738952126,0.8168336162408928,0.7937993576696579,0.320855183048695
grid_shear5.0_scale0.0_trans0.06_deg15.0,5.0,0.0,0.06,15.0,0.7264338174603889,0.8254901960784313,0.799982425415684,0.3557247498412981
grid_shear5.0_scale0.0_trans0.1_deg0.0,5.0,0.0,0.1,0.0,0.6434213348242246,0.8313725490196079,0.7903505162780978,0.3328809833924179
grid_shear5.0_scale0.0_trans0.1_deg5.0,5.0,0.0,0.1,5.0,0.6322231992472076,0.8359261898918179,0.7646357012467806,0.3234682996559271
grid_shear5.0_scale0.0_trans0.1_deg10.0,5.0,0.0,0.1,10.0,0.5810039856001313,0.8428705854856916,0.7033007091558691,0.29897835562605785
grid_shear5.0_scale0.0_trans0.1_deg15.0,5.0,0.0,0.1,15.0,0.7014053344522101,0.8745098039215686,0.8217988442453927,0.35585036083480387
grid_shear5.0_scale0.03_trans0.0_deg0.0,5.0,0.03,0.0,0.0,0.673139097279396,0.8601052758762239,0.7891860839387205,0.3347696070730398
grid_shear5.0_scale0.03_trans0.0_deg5.0,5.0,0.03,0.0,5.0,0.6381225123052137,0.8509803921568627,0.763712263718119,0.3091183276513231
grid_shear5.0_scale0.03_trans0.0_deg10.0,5.0,0.03,0.0,10.0,0.6547921879162875,0.8254901960784313,0.7626556727548698,0.3033065192409834
grid_shear5.0_scale0.03_trans0.0_deg15.0,5.0,0.03,0.0,15.0,0.6884822589097691,0.807843137254902,0.7705715304922006,0.33550455968865084
grid_shear5.0_scale0.03_trans0.03_deg0.0,5.0,0.03,0.03,0.0,0.6717359247519895,0.8156862745098039,0.794083462197563,0.3379922850043476
grid_shear5.0_scale0.03_trans0.03_deg5.0,5.0,0.03,0.03,5.0,0.6775696944290237,0.8450980392156863,0.7824820039326779,0.31420345674039385
grid_shear5.0_scale0.03_trans0.03_deg10.0,5.0,0.03,0.03,10.0,0.639339839529018,0.8333333333333334,0.7410585173293908,0.3201542830541805
grid_shear5.0_scale0.03_trans0.03_deg15.0,5.0,0.03,0.03,15.0,0.6994866915198029,0.8450980392156863,0.8170097714067639,0.35075123310717027
grid_shear5.0_scale0.03_trans0.06_deg0.0,5.0,0.03,0.06,0.0,0.6426466717457445,0.8647058823529412,0.7734459278713173,0.32230372752384623
grid_shear5.0_scale0.03_trans0.06_deg5.0,5.0,0.03,0.06,5.0,0.6606614587310209,0.8725490196078431,0.7595784593448566,0.3265646015686515
grid_shear5.0_scale0.03_trans0.06_deg10.0,5.0,0.03,0.06,10.0,0.7391058377767488,0.844337530865293,0.8201600492385569,0.3413382106355861
grid_shear5.0_scale0.03_trans0.06_deg15.0,5.0,0.03,0.06,15.0,0.7546255086821618,0.8490196078431372,0.8233525212552643,0.35046260351816716
grid_shear5.0_scale0.03_trans0.1_deg0.0,5.0,0.03,0.1,0.0,0.7031634029005835,0.8546467472845902,0.8157078947216021,0.34753205424064454
grid_shear5.0_scale0.03_trans0.1_deg5.0,5.0,0.03,0.1,5.0,0.7035390083156821,0.8561870096089504,0.8100923949474541,0.31972570024839075
grid_shear5.0_scale0.03_trans0.1_deg10.0,5.0,0.03,0.1,10.0,0.7788967360186823,0.8549019607843137,0.8438335348903214,0.3447316849520564
grid_shear5.0_scale0.03_trans0.1_deg15.0,5.0,0.03,0.1,15.0,0.7262854569913476,0.8686274509803922,0.8248434663530482,0.3420274204142943
