epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.66889,2.27122,3.53993,1.97134,0.00477,0.60196,0.08322,0.02556,1.78251,3.538,1.45616,0.000657658,0.000657658,0.000657658
2,16.9348,1.8088,2.09712,1.57848,0.66753,0.71373,0.67867,0.24871,1.96374,1.8395,1.73269,0.00128062,0.00128062,0.00128062
3,23.3201,1.83248,1.84482,1.61209,0.37145,0.23922,0.17662,0.06005,2.54449,2.67486,2.36284,0.00185959,0.00185959,0.00185959
4,29.6898,1.80512,1.67747,1.60407,0.66522,0.6,0.61878,0.21036,2.09652,1.58543,1.80679,0.001802,0.001802,0.001802
5,36.051,1.78354,1.54572,1.54993,0.75438,0.70588,0.75558,0.28112,1.89032,1.49073,1.64237,0.001736,0.001736,0.001736
6,42.4322,1.75146,1.45468,1.57322,0.73954,0.61961,0.69525,0.25956,1.9003,1.50617,1.61161,0.00167,0.00167,0.00167
7,48.81,1.7431,1.4458,1.55146,0.79206,0.73137,0.8031,0.31347,1.87267,1.35465,1.61432,0.001604,0.001604,0.001604
8,55.2082,1.72005,1.3609,1.55873,0.85554,0.82449,0.85953,0.34128,1.91369,1.17619,1.68328,0.001538,0.001538,0.001538
9,61.8905,1.70266,1.31025,1.55207,0.77648,0.74902,0.78897,0.28258,2.03185,1.24676,1.76032,0.001472,0.001472,0.001472
10,68.2815,1.72658,1.29157,1.56965,0.78527,0.78878,0.78548,0.28217,1.99544,1.26368,1.70866,0.001406,0.001406,0.001406
11,74.6328,1.69304,1.25721,1.51851,0.88998,0.82479,0.88068,0.35472,1.87311,1.16864,1.62063,0.00134,0.00134,0.00134
12,81.0158,1.66097,1.22158,1.5123,0.88281,0.82719,0.88228,0.35156,1.91311,1.15535,1.66438,0.001274,0.001274,0.001274
13,87.3934,1.66859,1.1885,1.52254,0.92655,0.82353,0.89892,0.37273,1.86461,1.11473,1.6436,0.001208,0.001208,0.001208
14,93.7867,1.67103,1.20189,1.51308,0.84614,0.84314,0.85662,0.32644,1.93371,1.15973,1.6711,0.001142,0.001142,0.001142
15,100.215,1.63776,1.17526,1.51101,0.88692,0.89804,0.93602,0.39948,1.88908,1.02278,1.63152,0.001076,0.001076,0.001076
16,106.605,1.65392,1.19607,1.51327,0.90019,0.88235,0.91838,0.3805,1.8589,1.04955,1.62142,0.00101,0.00101,0.00101
17,113.178,1.61092,1.12367,1.49403,0.8845,0.88589,0.91519,0.38278,1.87378,1.05217,1.6298,0.000944,0.000944,0.000944
18,119.604,1.64843,1.11034,1.52708,0.91879,0.86078,0.90983,0.40362,1.83534,1.03567,1.60832,0.000878,0.000878,0.000878
19,125.99,1.63548,1.10736,1.51279,0.9315,0.85323,0.92974,0.41167,1.83582,1.00435,1.593,0.000812,0.000812,0.000812
20,132.442,1.6095,1.11036,1.48604,0.91983,0.89412,0.94038,0.4214,1.82004,0.98861,1.58864,0.000746,0.000746,0.000746
21,139.626,1.60134,0.96769,1.48787,0.90241,0.88824,0.91241,0.39383,1.81767,1.03512,1.5928,0.00068,0.00068,0.00068
22,145.964,1.59967,0.9369,1.48673,0.90402,0.88824,0.93249,0.41791,1.84899,0.99738,1.58754,0.000614,0.000614,0.000614
23,152.257,1.58246,0.92855,1.4936,0.926,0.90588,0.94857,0.43464,1.80251,0.95736,1.58345,0.000548,0.000548,0.000548
24,158.526,1.5751,0.92343,1.46259,0.92538,0.92404,0.95144,0.4324,1.80405,0.93573,1.56552,0.000482,0.000482,0.000482
25,165.03,1.57916,0.88816,1.47346,0.93914,0.90774,0.94631,0.41834,1.82617,0.94937,1.59739,0.000416,0.000416,0.000416
26,171.294,1.56587,0.88528,1.48432,0.94016,0.9098,0.94376,0.42945,1.82819,0.93386,1.60952,0.00035,0.00035,0.00035
27,177.531,1.55422,0.88354,1.48517,0.92434,0.90588,0.92486,0.39823,1.87159,0.96464,1.65828,0.000284,0.000284,0.000284
28,183.796,1.54243,0.84475,1.47125,0.92316,0.89412,0.93061,0.40392,1.90086,0.94279,1.66512,0.000218,0.000218,0.000218
29,190.015,1.55054,0.82915,1.47597,0.93889,0.90378,0.94465,0.42622,1.84632,0.90876,1.61743,0.000152,0.000152,0.000152
30,196.299,1.53042,0.83028,1.46437,0.939,0.91176,0.94872,0.42958,1.84529,0.91541,1.61361,8.6e-05,8.6e-05,8.6e-05
