epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.034,2.17605,3.07286,1.94125,0.56608,0.47059,0.4192,0.14559,1.98376,2.39845,1.73504,0.000662162,0.000662162,0.000662162
2,13.7011,1.812,1.96759,1.67547,0.80052,0.74118,0.82574,0.33512,1.86648,1.49565,1.67071,0.00130252,0.00130252,0.00130252
3,20.1269,1.79991,1.70526,1.6714,0.61986,0.69381,0.68761,0.25416,2.0637,1.4597,1.83359,0.00191647,0.00191647,0.00191647
4,26.6539,1.78939,1.55887,1.7248,0.83638,0.73922,0.81773,0.3251,1.88148,1.33271,1.70939,0.0018812,0.0018812,0.0018812
5,33.1877,1.76521,1.46567,1.68481,0.83997,0.8098,0.82875,0.31557,1.91426,1.2514,1.75382,0.0018416,0.0018416,0.0018416
6,39.6024,1.7472,1.33434,1.66489,0.81351,0.86078,0.87376,0.33614,1.88852,1.38258,1.70526,0.001802,0.001802,0.001802
7,45.8931,1.74188,1.31565,1.6746,0.82826,0.74705,0.82576,0.33774,1.87681,1.20217,1.69286,0.0017624,0.0017624,0.0017624
8,52.1044,1.71392,1.3217,1.65609,0.90225,0.83253,0.89569,0.35849,1.86549,1.15132,1.67945,0.0017228,0.0017228,0.0017228
9,58.4436,1.72534,1.26628,1.67137,0.81332,0.70588,0.77465,0.29916,1.94892,1.33999,1.75943,0.0016832,0.0016832,0.0016832
10,64.8633,1.69678,1.28025,1.63695,0.91986,0.78776,0.87215,0.37199,1.88003,1.15145,1.68589,0.0016436,0.0016436,0.0016436
11,71.0848,1.69112,1.24967,1.63591,0.90439,0.76044,0.8448,0.34257,1.92902,1.24665,1.74784,0.001604,0.001604,0.001604
12,77.3859,1.68503,1.19342,1.63752,0.8962,0.8634,0.9093,0.37719,1.94607,1.03444,1.74128,0.0015644,0.0015644,0.0015644
13,83.7269,1.67092,1.18834,1.62234,0.8917,0.87179,0.9052,0.39297,1.8779,1.0291,1.68965,0.0015248,0.0015248,0.0015248
14,90.0971,1.67625,1.22213,1.62186,0.92119,0.848,0.89729,0.38448,1.84213,1.05387,1.67267,0.0014852,0.0014852,0.0014852
15,96.4718,1.66341,1.16592,1.6347,0.92243,0.88603,0.92259,0.39442,1.85411,1.0427,1.68775,0.0014456,0.0014456,0.0014456
16,102.834,1.69995,1.19618,1.66031,0.8799,0.84314,0.86643,0.35247,1.91108,1.15112,1.7361,0.001406,0.001406,0.001406
17,109.172,1.64669,1.15798,1.61829,0.89874,0.87015,0.90618,0.36159,1.97817,1.03501,1.79023,0.0013664,0.0013664,0.0013664
18,115.659,1.65508,1.11652,1.62187,0.89088,0.86447,0.89633,0.37086,1.87855,1.0614,1.71112,0.0013268,0.0013268,0.0013268
19,122.039,1.65393,1.0846,1.63409,0.92458,0.88431,0.91539,0.38598,1.87493,1.01444,1.68861,0.0012872,0.0012872,0.0012872
20,128.433,1.63013,1.12807,1.60882,0.88127,0.87327,0.89989,0.36559,1.906,1.03763,1.73826,0.0012476,0.0012476,0.0012476
21,134.798,1.6402,1.10475,1.61017,0.91405,0.86667,0.90422,0.37814,1.93742,0.99907,1.74577,0.001208,0.001208,0.001208
22,141.191,1.62356,1.10227,1.60024,0.92521,0.89743,0.91523,0.399,1.88832,0.97457,1.70848,0.0011684,0.0011684,0.0011684
23,147.516,1.6256,1.05769,1.60505,0.90725,0.90146,0.91365,0.38763,1.86631,0.99407,1.68536,0.0011288,0.0011288,0.0011288
24,153.881,1.62403,1.0344,1.59823,0.9034,0.9,0.91799,0.39002,1.9077,0.95793,1.71286,0.0010892,0.0010892,0.0010892
25,160.24,1.62449,1.07175,1.58673,0.91028,0.92157,0.93357,0.40454,1.84631,0.97678,1.67454,0.0010496,0.0010496,0.0010496
26,166.637,1.60509,1.028,1.59168,0.87665,0.87793,0.89261,0.35174,1.98884,1.0052,1.7897,0.00101,0.00101,0.00101
27,172.915,1.60477,1.04117,1.57749,0.89934,0.87588,0.91194,0.37288,1.94988,1.00974,1.75695,0.0009704,0.0009704,0.0009704
28,179.179,1.60443,1.02813,1.58009,0.92448,0.9098,0.94301,0.41088,1.85005,0.97084,1.66938,0.0009308,0.0009308,0.0009308
29,185.583,1.60301,1.01765,1.58779,0.91146,0.89412,0.9325,0.39093,1.90307,0.97796,1.7173,0.0008912,0.0008912,0.0008912
30,192.003,1.60735,1.03313,1.59118,0.89983,0.88067,0.90694,0.37041,1.94255,1.01659,1.75264,0.0008516,0.0008516,0.0008516
31,198.367,1.59952,1.00237,1.57731,0.90884,0.89608,0.92476,0.40626,1.8913,0.94384,1.71645,0.000812,0.000812,0.000812
32,204.763,1.59888,0.99672,1.57548,0.90858,0.89645,0.91201,0.36689,2.00839,0.94995,1.80897,0.0007724,0.0007724,0.0007724
33,211.002,1.59324,0.98834,1.58044,0.92715,0.87346,0.92119,0.40393,1.8831,0.95297,1.69215,0.0007328,0.0007328,0.0007328
34,217.407,1.57723,0.98576,1.56549,0.917,0.90784,0.9212,0.40655,1.90727,0.95934,1.72243,0.0006932,0.0006932,0.0006932
35,223.764,1.58482,0.97711,1.56172,0.92228,0.90745,0.93149,0.41691,1.85623,0.93874,1.68007,0.0006536,0.0006536,0.0006536
36,230.119,1.57468,0.9562,1.5624,0.91762,0.89552,0.92919,0.40774,1.87475,0.95759,1.69385,0.000614,0.000614,0.000614
37,236.394,1.5651,0.96844,1.55065,0.94306,0.90927,0.95011,0.42138,1.85789,0.88871,1.67946,0.0005744,0.0005744,0.0005744
38,242.699,1.55214,0.93468,1.54248,0.92012,0.90196,0.93117,0.40487,1.9199,0.92275,1.74209,0.0005348,0.0005348,0.0005348
39,248.991,1.57464,0.98043,1.56346,0.92647,0.91569,0.93505,0.41588,1.85658,0.93563,1.67985,0.0004952,0.0004952,0.0004952
